order_id,customer_id,order_date,amount,status,channel
50000,83,2024-05-10,232.83,refunded,store
50001,117,2025-10-23,90.53,completed,web
50002,24,2024-12-15,194.55,completed,store
50003,20,2024-04-13,55.94,refunded,store
50004,5,2025-09-24,23.03,completed,web
50005,89,2024-06-18,76.5,completed,mobile
50006,31,2025-09-17,15.69,pending,web
50007,31,2025-04-25,113.39,refunded,store
50008,57,2024-10-15,123.45,pending,store
50009,105,2025-09-11,27.03,refunded,web
50010,48,2024-04-15,103.21,completed,web
50011,98,2025-04-05,9.96,completed,mobile
50012,114,2024-01-28,44.45,completed,web
50013,11,2024-01-29,40.71,refunded,mobile
50014,102,2024-02-09,8.8,refunded,mobile
50015,98,2025-04-04,325.92,completed,web
50016,107,2025-09-15,57.14,completed,web
50017,16,2025-03-05,93.43,completed,web
50018,116,2025-07-02,35.18,pending,web
50019,46,2025-03-02,13.81,cancelled,store
50020,9,2025-07-11,136.42,cancelled,web
50021,112,2025-10-12,41.96,refunded,web
50022,101,2024-09-03,136.15,cancelled,mobile
50023,43,2024-12-26,78.24,completed,mobile
50024,88,2025-05-05,151.27,completed,mobile
50025,59,2024-07-25,429.36,cancelled,web
50026,5,2024-07-14,5.68,completed,store
50027,43,2025-01-11,46.84,pending,store
50028,50,2024-07-10,54.0,cancelled,web
50029,11,2024-03-21,28.23,completed,web
50030,85,2025-04-01,70.86,refunded,web
50031,58,2024-12-27,73.43,refunded,store
50032,8,2025-10-14,41.23,refunded,mobile
50033,4,2025-09-14,86.68,completed,web
50034,100,2025-01-05,36.79,cancelled,web
50035,58,2025-01-15,49.97,completed,mobile
50036,51,2024-10-12,36.17,refunded,web
50037,67,2025-07-29,79.74,cancelled,web
50038,118,2024-07-23,27.38,pending,store
50039,104,2024-11-23,126.8,cancelled,mobile
50040,115,2024-06-10,144.5,cancelled,web
50041,26,2024-08-30,61.86,cancelled,web
50042,114,2024-11-12,32.31,pending,mobile
50043,99,2025-08-11,79.63,refunded,mobile
50044,17,2025-07-18,70.05,completed,web
50045,117,2024-05-07,56.71,completed,web
50046,91,2025-06-15,20.16,cancelled,web
50047,81,2025-06-30,10.47,cancelled,store
50048,20,2025-10-01,123.32,cancelled,web
50049,,2025-10-18,93.45,completed,mobile
50050,54,2024-02-01,54.18,completed,mobile
50051,39,2025-02-19,39.7,completed,web
50052,54,2024-07-27,41.59,refunded,web
50053,111,2025-02-12,23.21,cancelled,web
50054,31,2024-09-30,50.12,completed,web
50055,50,2025-03-04,26.11,cancelled,mobile
50056,25,2025-05-25,163.98,completed,store
50057,65,2024-09-03,28.73,completed,web
50058,77,2025-10-31,77.65,completed,mobile
50059,56,2024-09-27,222.49,completed,web
50060,7,2024-07-18,41.19,pending,mobile
50061,98,2025-09-30,73.59,completed,web
50062,102,2025-07-25,22.33,cancelled,web
50063,5,2024-12-07,137.3,completed,mobile
50064,66,2025-09-19,35.31,cancelled,mobile
50065,39,2025-06-03,151.96,refunded,mobile
50066,61,2025-01-12,41.41,pending,mobile
50067,102,2025-10-06,14.68,refunded,mobile
50068,100,2024-08-21,118.53,completed,mobile
50069,93,2025-01-24,10.93,completed,mobile
50070,90,2024-01-20,47.09,pending,mobile
50071,53,2025-09-18,78.79,completed,mobile
50072,72,2025-11-09,51.9,completed,web
50073,69,2024-12-28,379.08,refunded,mobile
50074,89,2025-05-10,30.1,cancelled,web
50075,39,2024-07-31,93.96,pending,web
50076,120,2024-10-07,26.43,cancelled,web
50077,51,2024-05-29,35.55,refunded,web
50078,119,2024-09-19,86.39,cancelled,web
50079,72,2024-05-20,117.1,completed,web
50080,53,2025-04-28,156.8,pending,web
50081,26,2024-10-21,26.14,completed,mobile
50082,30,2024-02-08,113.35,completed,store
50083,5,2025-02-10,91.47,refunded,store
50084,119,2024-02-08,61.85,completed,store
50085,60,2024-04-25,21.8,refunded,web
50086,,2024-10-29,82.04,completed,mobile
50087,82,2025-03-13,55.95,refunded,web
50088,18,2024-09-11,17.0,pending,mobile
50089,43,2025-08-09,73.68,completed,web
50090,21,2025-05-29,194.51,refunded,store
50091,38,2024-08-14,34.03,completed,web
50092,78,2025-07-16,180.28,cancelled,store
50093,11,2025-06-24,75.36,cancelled,web
50094,107,2025-06-01,21.38,completed,web
50095,67,2025-11-27,19.48,completed,store
50096,58,2025-04-09,21.8,cancelled,web
50097,60,2024-11-11,93.6,completed,mobile
50098,75,2025-03-09,42.86,completed,store
50099,9,2025-04-28,17.2,completed,mobile
50100,94,2025-03-06,10.13,pending,store
50101,117,2024-03-23,120.04,cancelled,web
50102,111,2024-07-01,178.41,completed,mobile
50103,29,2024-01-24,200.2,refunded,mobile
50104,69,2024-08-23,31.09,completed,web
50105,113,2024-04-25,756.14,completed,web
50106,9,2024-02-04,43.03,completed,web
50107,6,2024-08-27,69.13,completed,web
50108,38,2025-08-12,28.31,refunded,mobile
50109,31,2024-05-26,45.88,cancelled,store
50110,113,2024-06-28,75.24,pending,web
50111,45,2025-11-18,37.92,refunded,web
50112,20,2024-07-07,110.46,completed,web
50113,91,2025-04-19,217.45,pending,mobile
50114,18,2024-09-18,16.05,pending,mobile
50115,12,2024-07-14,19.11,cancelled,mobile
50116,112,2025-08-24,114.6,pending,web
50117,117,2024-01-16,32.5,refunded,web
50118,97,2024-09-05,143.02,pending,store
50119,71,2024-10-16,37.59,completed,web
50120,47,2025-05-24,42.46,refunded,web
50121,108,2024-07-27,39.58,cancelled,store
50122,95,2024-09-24,65.82,refunded,web
50123,20,2024-08-23,19.08,pending,mobile
50124,88,2025-05-15,53.71,completed,web
50125,93,2024-07-07,205.97,refunded,store
50126,68,2024-03-17,105.21,refunded,web
50127,91,2024-08-11,55.33,cancelled,mobile
50128,120,2025-05-09,59.13,completed,mobile
50129,36,2024-10-20,202.2,completed,web
50130,13,2024-09-03,21.14,completed,web
50131,51,2025-02-19,50.45,refunded,web
50132,88,2024-03-23,265.38,completed,web
50133,49,2025-05-02,20.94,pending,mobile
50134,43,2024-04-07,104.3,completed,web
50135,10,2024-10-14,207.26,completed,web
50136,109,2024-07-31,91.13,refunded,mobile
50137,119,2024-06-15,67.71,pending,mobile
50138,70,2024-05-23,213.46,completed,mobile
50139,45,2025-03-23,35.78,cancelled,mobile
50140,77,2024-11-30,21.24,pending,web
50141,46,2025-01-19,40.03,refunded,web
50142,99,2024-09-09,76.59,completed,web
50143,101,2025-02-02,40.48,completed,store
50144,57,2024-10-03,43.5,cancelled,web
50145,4,2025-07-21,12.48,completed,store
50146,2,2025-02-01,239.72,cancelled,store
50147,32,2024-06-22,75.59,completed,web
50148,64,2024-06-20,46.31,pending,mobile
50149,47,2024-09-09,103.43,cancelled,web
50150,14,2024-01-07,145.48,cancelled,web
50151,111,2024-12-08,30.77,refunded,store
50152,18,2025-09-09,143.26,refunded,mobile
50153,74,2024-11-29,20.39,pending,web
50154,120,2025-08-29,6.73,refunded,web
50155,109,2025-02-22,73.19,completed,web
50156,85,2025-03-09,86.07,cancelled,web
50157,52,2025-03-04,74.0,completed,mobile
50158,104,2025-10-15,18.27,completed,mobile
50159,6,2025-10-22,84.02,completed,store
50160,56,2024-04-10,26.6,cancelled,mobile
50161,89,2025-04-01,38.79,refunded,mobile
50162,65,2024-01-26,52.69,completed,web
50163,94,2024-11-15,18.9,cancelled,web
50164,61,2025-04-08,37.44,refunded,web
50165,109,2024-04-21,74.37,refunded,web
50166,23,2024-12-04,446.32,completed,mobile
50167,81,2025-10-17,79.8,refunded,mobile
50168,26,2025-03-15,31.53,completed,web
50169,91,2024-03-05,95.83,cancelled,web
50170,42,2024-04-26,61.07,cancelled,web
50171,51,2024-12-22,36.67,completed,mobile
50172,91,2025-09-21,81.53,completed,web
50173,40,2025-01-17,97.19,pending,mobile
50174,74,2024-07-09,52.35,refunded,store
50175,23,2025-05-16,37.38,pending,mobile
50176,111,2024-01-10,53.1,pending,store
50177,65,2025-02-22,86.56,pending,web
50178,11,2024-08-13,35.94,cancelled,web
50179,100,2025-05-22,59.25,completed,web
50180,70,2025-01-10,70.25,refunded,web
50181,28,2024-04-14,147.47,completed,web
50182,5,2024-12-22,97.09,refunded,mobile
50183,45,2025-09-16,68.86,completed,mobile
50184,105,2024-03-01,67.93,cancelled,mobile
50185,42,2024-10-26,35.9,cancelled,store
50186,87,2024-05-18,100.79,completed,web
50187,92,2024-09-10,177.26,pending,web
50188,81,2025-02-28,44.84,completed,web
50189,96,2025-01-12,47.99,cancelled,web
50190,100,2024-04-05,101.68,refunded,mobile
50191,109,2025-07-01,139.42,completed,mobile
50192,44,2024-05-13,65.85,completed,store
50193,98,2024-04-11,168.47,completed,web
50194,110,2025-04-12,13.55,completed,store
50195,39,2024-10-07,21.6,completed,web
50196,116,2024-02-23,43.92,refunded,mobile
50197,55,2024-04-07,27.33,refunded,web
50198,2,2024-05-03,187.2,completed,web
50199,30,2024-04-14,21.87,completed,web
50200,100,2024-05-16,103.48,completed,mobile
50201,2,2024-06-17,39.86,refunded,mobile
50202,118,2025-03-29,67.49,pending,web
50203,18,2025-10-22,14.05,cancelled,mobile
50204,37,2024-01-28,241.07,completed,web
50205,78,2025-02-05,39.83,completed,web
50206,15,2025-10-15,72.99,completed,store
50207,120,2025-01-31,184.75,completed,mobile
50208,23,2024-03-15,56.03,cancelled,mobile
50209,55,2024-03-25,85.05,completed,web
50210,40,2024-07-27,29.64,refunded,mobile
50211,9,2025-03-23,484.96,completed,web
50212,119,2025-04-09,64.93,refunded,mobile
50213,95,2024-01-13,150.75,completed,web
50214,45,2024-09-22,31.3,completed,mobile
50215,16,2024-01-31,35.82,cancelled,web
50216,92,2025-10-04,17.6,completed,web
50217,110,2025-01-11,318.69,completed,web
50218,501,2024-09-07,19.28,completed,web
50219,110,2025-11-02,45.91,pending,store
50220,41,2024-03-20,61.46,refunded,store
50221,23,2025-06-12,16.86,completed,mobile
50222,40,2025-07-20,49.41,completed,mobile
50223,39,2024-09-05,48.0,pending,store
50224,100,2025-07-13,90.3,completed,store
50225,4,2024-12-20,104.24,completed,store
50226,1,2025-01-20,352.71,completed,web
50227,31,2024-03-02,39.02,completed,store
50228,67,2025-01-16,42.94,cancelled,web
50229,18,2025-02-07,13.01,pending,mobile
50230,17,2024-09-24,21.57,completed,web
