product,month,region,sales,units
Widget,2025-01,East,26044.28,666
Widget,2025-02,East,27148.54,1068
Widget,2025-03,West,24259.82,1039
Widget,2025-04,West,22589.04,948
Widget,2025-05,West,20072.03,740
Widget,2025-06,West,20667.46,797
Widget,2025-07,East,23289.57,668
Widget,2025-08,East,24740.64,807
Widget,2025-09,East,25926.66,637
Widget,2025-10,East,26393.56,820
Widget,2025-11,East,37248.43,1019
Widget,2025-12,West,38519.15,1012
Widget,2026-01,East,30189.76,1273
Widget,2026-02,West,33069.95,845
Widget,2026-03,West,38026.46,1187
Widget,2026-04,East,35221.1,1191
Widget,2026-05,East,36346.24,1108
Widget,2026-06,West,36961.61,886
Gadget,2025-01,East,50101.54,1548
Gadget,2025-02,East,44545.86,1530
Gadget,2025-03,West,44675.64,1532
Gadget,2025-04,West,50555.13,1581
Gadget,2025-05,West,54936.0,2659
Gadget,2025-06,East,51895.22,2411
Gadget,2025-07,East,51484.78,1696
Gadget,2025-08,East,50283.02,1499
Gadget,2025-09,East,51018.16,2396
Gadget,2025-10,West,50015.04,2758
Gadget,2025-11,West,56827.27,2288
Gadget,2025-12,West,51272.51,2247
Gadget,2026-01,West,37390.67,1004
Gadget,2026-02,East,40264.27,2016
Gadget,2026-03,East,41509.41,2000
Gadget,2026-04,East,41022.87,995
Gadget,2026-05,East,46178.88,2262
Gadget,2026-06,West,48493.37,1269
Doohickey,2025-01,West,20325.63,547
Doohickey,2025-02,West,19420.97,456
Doohickey,2025-03,West,18044.53,572
Doohickey,2025-04,West,17126.12,398
Doohickey,2025-05,East,19593.38,622
Doohickey,2025-06,West,17733.21,445
Doohickey,2025-07,West,16590.36,473
Doohickey,2025-08,West,16061.68,392
Doohickey,2025-09,West,15727.09,400
Doohickey,2025-10,East,13966.05,311
Doohickey,2025-11,East,19523.56,570
Doohickey,2025-12,East,19442.05,879
Doohickey,2026-01,East,17064.25,386
Doohickey,2026-02,West,16815.01,395
Doohickey,2026-03,East,18031.69,506
Doohickey,2026-04,West,19537.3,513
Doohickey,2026-05,West,21585.16,545
Doohickey,2026-06,West,20395.63,570
Sprocket,2025-01,West,62900.18,1548
Sprocket,2025-02,East,66465.03,1495
Sprocket,2025-03,West,69385.07,3692
Sprocket,2025-04,East,74971.83,2587
Sprocket,2025-05,West,85261.11,4512
Sprocket,2025-06,East,77739.42,2669
Sprocket,2025-07,West,83499.03,2030
Sprocket,2025-08,East,91098.5,3719
Sprocket,2025-09,West,100987.16,3044
Sprocket,2025-10,West,94207.83,2358
Sprocket,2025-11,West,104747.25,4621
Sprocket,2025-12,West,106461.33,2858
Sprocket,2026-01,East,88694.42,3381
Sprocket,2026-02,West,82552.15,3317
Sprocket,2026-03,West,86816.45,2938
Sprocket,2026-04,East,84403.37,2081
Sprocket,2026-05,West,97458.22,2391
Sprocket,2026-06,West,104814.93,2568
Thingamajig,2025-01,East,24611.57,557
Thingamajig,2025-02,East,22431.7,631
Thingamajig,2025-03,West,22546.37,858
Thingamajig,2025-04,West,23502.07,638
Thingamajig,2025-05,East,22780.53,936
Thingamajig,2025-06,West,24347.02,654
Thingamajig,2025-07,East,25180.29,856
Thingamajig,2025-08,West,28570.69,763
Thingamajig,2025-09,East,30636.88,1576
Thingamajig,2025-10,West,30777.43,932
Thingamajig,2025-11,East,44044.97,1208
Thingamajig,2025-12,West,46442.31,1542
Thingamajig,2026-01,East,42599.52,2229
Thingamajig,2026-02,West,40715.07,1229
Thingamajig,2026-03,West,36853.71,1624
Thingamajig,2026-04,East,39712.52,1500
Thingamajig,2026-05,East,38845.57,989
Thingamajig,2026-06,East,43831.77,1242
