customer_id,txn_date,amount,category
15,2025-01-02,13.45,groceries
25,2025-01-02,19.14,retail
36,2025-01-02,63.13,retail
39,2025-01-02,9.42,fuel
42,2025-01-02,12.03,utilities
66,2025-01-02,45.24,groceries
96,2025-01-02,117.87,travel
109,2025-01-02,138.99,travel
112,2025-01-02,59.98,utilities
5,2025-01-03,54.55,dining
15,2025-01-03,8.97,groceries
24,2025-01-03,19.21,groceries
25,2025-01-03,15.85,fuel
33,2025-01-03,70.3,fuel
38,2025-01-03,18.7,retail
62,2025-01-03,44.85,groceries
65,2025-01-03,93.52,retail
77,2025-01-03,32.08,utilities
80,2025-01-03,14.53,retail
93,2025-01-03,8.98,utilities
108,2025-01-03,26.75,dining
5,2025-01-04,50.71,utilities
14,2025-01-04,120.07,dining
24,2025-01-04,85.9,groceries
45,2025-01-04,30.21,dining
46,2025-01-04,18.64,dining
62,2025-01-04,89.79,dining
84,2025-01-04,53.26,utilities
3,2025-01-05,19.31,retail
8,2025-01-05,13.98,fuel
12,2025-01-05,71.63,utilities
14,2025-01-05,98.63,retail
28,2025-01-05,27.1,groceries
35,2025-01-05,36.67,dining
60,2025-01-05,17.11,fuel
63,2025-01-05,74.06,utilities
82,2025-01-05,25.5,groceries
111,2025-01-05,140.04,retail
9,2025-01-06,12.37,utilities
10,2025-01-06,14.47,groceries
21,2025-01-06,26.6,retail
28,2025-01-06,34.78,utilities
49,2025-01-06,12.04,utilities
55,2025-01-06,11.52,dining
57,2025-01-06,51.86,dining
59,2025-01-06,84.11,utilities
73,2025-01-06,23.16,retail
75,2025-01-06,15.35,retail
82,2025-01-06,15.58,retail
95,2025-01-06,81.13,utilities
103,2025-01-06,97.06,fuel
7,2025-01-07,51.51,travel
33,2025-01-07,41.7,groceries
38,2025-01-07,19.89,groceries
59,2025-01-07,24.08,dining
66,2025-01-07,55.3,groceries
92,2025-01-07,84.02,dining
96,2025-01-07,51.43,dining
100,2025-01-07,8.02,travel
102,2025-01-07,58.69,dining
104,2025-01-07,51.51,utilities
105,2025-01-07,43.97,dining
106,2025-01-07,66.27,travel
119,2025-01-07,7.97,utilities
120,2025-01-07,25.07,retail
4,2025-01-08,86.5,fuel
7,2025-01-08,42.52,groceries
13,2025-01-08,33.7,travel
17,2025-01-08,52.08,dining
23,2025-01-08,26.47,utilities
25,2025-01-08,31.86,dining
26,2025-01-08,44.66,travel
29,2025-01-08,56.57,retail
36,2025-01-08,59.88,fuel
38,2025-01-08,14.89,retail
69,2025-01-08,37.93,groceries
72,2025-01-08,21.6,groceries
86,2025-01-08,17.68,groceries
91,2025-01-08,68.26,fuel
94,2025-01-08,18.34,fuel
116,2025-01-08,42.12,retail
1,2025-01-09,22.69,utilities
12,2025-01-09,119.51,travel
18,2025-01-09,44.21,fuel
31,2025-01-09,28.73,fuel
46,2025-01-09,9.34,utilities
56,2025-01-09,111.09,travel
68,2025-01-09,40.36,groceries
87,2025-01-09,12.15,retail
89,2025-01-09,27.25,dining
90,2025-01-09,94.7,groceries
92,2025-01-09,67.92,dining
97,2025-01-09,17.85,dining
100,2025-01-09,14.54,travel
108,2025-01-09,18.26,fuel
109,2025-01-09,134.99,dining
110,2025-01-09,13.69,utilities
112,2025-01-09,7.0,groceries
118,2025-01-09,176.33,groceries
4,2025-01-10,67.99,groceries
9,2025-01-10,74.82,fuel
11,2025-01-10,14.19,travel
15,2025-01-10,33.99,travel
26,2025-01-10,57.98,fuel
42,2025-01-10,37.62,groceries
